Thoughtseize	894/1310	1276/1310	1291/1310	1297/1310	1300/1310
Siege Rhino	0/1327	0/1327	0/1327	920/1327	1066/1327
Fleecemane Lion	0/1288	1051/1288	1182/1288	1217/1288	1244/1288
Wingmate Roc	0/1278	0/1278	0/1278	0/1278	688/1278
Anafenza, the Foremost	0/1371	0/1371	1119/1371	1235/1371	1288/1371
Abzan Charm	0/1059	0/1059	872/1059	955/1059	989/1059
Murderous Cut	0/338	0/338	0/338	0/338	199/338
Bile Blight	0/1276	863/1276	1098/1276	1151/1276	1183/1276
Hero's Downfall	0/1004	0/1004	775/1004	862/1004	909/1004
Rakshasa Deathdealer	0/1318	1095/1318	1221/1318	1257/1318	1277/1318
