Chained to the Rocks	0/1277	1039/1277	1096/1277	1138/1277	1163/1277
Hordeling Outburst	0/1274	0/1274	896/1274	1022/1274	1102/1274
Wingmate Roc	0/689	0/689	0/689	0/689	266/689
Stoke the Flames	0/1248	0/1248	0/1248	707/1248	855/1248
Lightning Strike	0/987	916/987	958/987	971/987	976/987
Raise the Alarm	0/1314	1206/1314	1266/1314	1280/1314	1291/1314
Seeker of the Way	0/1375	1252/1375	1323/1375	1341/1375	1354/1375
Treasure Cruise	0/0	0/0	0/0	0/0	0/0
Heliod's Pilgrim	0/1034	0/1034	811/1034	904/1034	958/1034
Jeskai Ascendancy	0/1288	0/1288	932/1288	1057/1288	1143/1288
